revision,price_usd,zona,created_at_first,created_at,days_old,number_of_bedrooms,number_of_bathrooms,m2,latitude,longitude
7,255000,Zona 15,4/15/20,5/2/20,17.00,3.00,3.00,215.00,14.599,-90.493
5,185000,Zona 15,4/15/20,4/15/20,0.00,2.00,2.00,83.00,14.595,-90.495
6,450000,Zona 15,4/15/20,4/15/20,0.00,3.00,3.00,300.00,14.599,-90.493
9,280000,Zona 9,1/15/20,4/15/20,91.00,3.00,3.00,190.00,14.609,-90.519
29,115000,Zona 4 de Mixco,11/23/19,4/15/20,144.00,2.00,1.00,84.00,14.655,-90.542
95,250000,Zona 15,4/15/20,6/3/20,49.00,3.00,2.00,274.00,14.598,-90.493
7,96494,Zona 3,10/25/19,4/14/20,172.00,3.00,1.00,58.00,14.636,-90.527
5,200000,,4/14/20,4/14/20,0.00,3.00,3.00,225.00,14.634,-90.506
5,300000,,4/14/20,4/14/20,0.00,2.00,3.00,230.00,14.634,-90.506
5,191558,Zona 2,4/14/20,4/14/20,0.00,3.00,2.00,175.00,14.659,-90.509
5,180000,Zona 15,4/14/20,4/14/20,0.00,2.00,2.00,110.00,14.595,-90.495
9,164805,Zona 15,1/14/20,4/14/20,91.00,2.00,2.00,129.46,14.599,-90.493
5,150000,Zona 9,4/8/20,4/8/20,0.00,2.00,1.00,89.00,14.607,-90.52
5,142857,Zona 17,4/7/20,4/7/20,0.00,7.00,4.00,245.00,14.65,-90.48
15,129870,Zona 1,12/24/19,5/7/20,135.00,4.00,2.00,190.00,14.643,-90.499
10,260000,Zona 5,12/24/19,4/7/20,105.00,4.00,3.00,475.00,14.627,-90.479
12,230000,Zona 7,12/26/19,4/7/20,103.00,3.00,2.00,200.00,14.632,-90.552
8,99935,Zona 8,3/20/20,4/7/20,18.00,2.00,2.00,58.00,14.616,-90.527
6,120130,Zona 17,3/28/20,4/7/20,10.00,3.00,2.00,124.00,14.643,-90.466
5,422078,Zona 2,4/7/20,4/7/20,0.00,5.00,4.00,515.00,14.666,-90.508
5,240000,Zona 15,4/7/20,4/7/20,0.00,2.00,2.00,110.00,14.599,-90.493
4,68182,Zona 1,4/6/20,4/6/20,0.00,2.00,1.00,100.00,14.637,-90.508
